Match ID:768431, Blue: Avdol by Camrat / Retu, Red: Athena Asamiya D4 / Rimul Aileron (old)
Match ID:768310, Blue: G-Hisame Shizumaru ⇒ Aoko 7th Moon Style ⇒ Ikai no Mamono (old) ⇒ Whirlwind Lihua 2nd, Red: Eiji Shirow ⇒ Felicueid ⇒ Flame and Wind of Immorality ⇒ Oni-Miko
Match ID:768256, Blue: K_Mai ⇒ Tios, Red: Half Moon Sion TATARI AACC (old) ⇒ EX Snow
Match ID:768091, Blue: AMX-002 Neue Ziel (old), Red: Geek Emperor
Match ID:767945, Blue: Taki NS, Red: Yuyuko Souki (old)
Match ID:767855, Blue: Yashiro ROTD ⇒ Link HCL ⇒ Rick Simpsons 0D ⇒ Quenthur Barbotage, Red: Wonder Momo ⇒ Teskoma ⇒ Iron Petra ⇒ Bathory (old)
Match ID:767767, Blue: Ratchet & Clank / Terry XIII (old), Red: Clone Kyo XI
Match ID:767738, Blue: Ayatane Michitaka, Red: Sagat (old)
Match ID:767664, Blue: Serena (old), Red: Robert KOF
Match ID:767458, Blue: Kyo-Another, Red: Mr. Kyo (old)
Match ID:767206, Blue: Yuka Takeuchi, Red: Serena (old)
Match ID:766844, Blue: Nanase BBTag (old), Red: Overlord
Match ID:766775, Blue: Shura DM, Red: Nanase BBTag (old)
Match ID:766758, Blue: Nanase BBTag (old), Red: Scarlet Witch
Match ID:766638, Blue: Nanase BBTag (old), Red: Cyborg D-9F 0D
Match ID:766551, Blue: Nanase BBTag (old), Red: Shanoa
Match ID:766498, Blue: Flandre RP, Red: Nanase BBTag (old)
Match ID:766446, Blue: Nanase BBTag (old), Red: Material
Match ID:766356, Blue: Wind CI, Red: Nanase BBTag (old)
Match ID:766339, Blue: Nanase BBTag (old), Red: Sahad
